T20,T80,P188,DMSO,PG,Rep 1 Absorbance,Rep 2 Absorbance,Rep 3 Absorbance,Mean Absorbance,Std Absorbance,Round Number,Relative SD,Solubility (mg/mL)
4,3,1,2,2,0.2357,0.1137,0.2577,0.202366667,0.077571472,0,,2.874434152
5,2,3,4,2,0.1957,0.3127,0.2997,0.269366667,0.064127477,0,,3.850712056
1,4,2,3,1,0.1407,0.2477,0.0847,0.1577,0.08281908,0,,2.223582211
2,3,4,2,4,0.1297,0.3887,0.1207,0.213033333,0.152198336,0,,3.029861471
1,2,3,3,2,0.1327,0.1867,0.0767,0.132033333,0.05500303,0,,1.849585198
4,4,2,0,4,0.1697,0.5907,0.2297,0.330033333,0.22772864,0,,4.734704975
1,2,1,1,3,0.0597,0.2427,0.0817,0.128033333,0.099911628,0,,1.79129995
1,2,0,2,4,0.0607,0.2957,0.0907,0.149033333,0.1278997,0,,2.097297502
4,5,1,5,1,0.1447,0.3007,0.1317,0.192366667,0.094044316,0,,2.728721032
5,1,4,1,0,0.0537,0.3087,0.0977,0.153366667,0.136309696,0,,2.160439864
5,4,5,1,1,0.0947,0.4067,0.1037,0.2017,0.17759223,0,,2.864719939
4,1,1,2,4,0.1497,0.1137,0.0347,0.099366667,0.058824598,0,,1.373589016
3,4,1,1,3,0.0997,0.1507,0.0687,0.106366667,0.041404509,0,,1.4755882
0,1,4,1,1,0.0307,0.0407,0.0087,0.0267,0.016370706,0,,0.314740339
3,4,4,4,3,0.2207,0.3017,0.0617,0.1947,0.122094226,0,,2.762720755
0,2,1,4,1,0.1087,0.0967,0.0537,0.086366667,0.028919428,0,,1.18416196
3,4,1,4,3,0.1217,0.2747,0.2137,0.203366667,0.077021642,0,,2.889005464
1,1,3,3,4,0.0157,0.0847,0.0777,0.059366667,0.037978064,0,,0.790736536
1,4,2,5,1,0.0437,0.2487,0.0897,0.127366667,0.107565484,0,,1.781585752
1,0,4,4,3,0.0287,0.0787,0.0607,0.056033333,0.02532456,0,,0.742165486
3,3,4,0,2,0.0437,0.1627,0.1507,0.119033333,0.065515901,0,,1.660158142
1,4,4,2,3,0.0557,0.1337,0.0947,0.0947,0.039,0,,1.305589555
3,1,2,3,3,0.0237,0.1397,0.0927,0.085366667,0.058346665,0,,1.169590648
4,4,0,0,1,0.0577,0.2377,0.1857,0.160366667,0.092635486,0,,2.262439048
5,1,4,4,4,0.0797,0.1497,0.2387,0.156033333,0.079688979,0,,2.199296686
2,5,1,1,5,0.0597,0.1607,0.1687,0.1297,0.060753601,0,,1.815585475
1,0,0,1,1,0.0857,0.1117,0.1477,0.115033333,0.031134118,0,,1.601872894
1,1,2,4,1,0.0607,0.0657,0.0477,0.058033333,0.009291573,0,,0.77130811
4,2,0,4,4,0.2027,0.1237,0.1307,0.152366667,0.043730234,0,,2.145868552
3,4,2,4,5,0.1587,0.1077,0.1207,0.129033333,0.026501572,0,,1.805871262
0,3,4,1,2,0.0677,0.0887,0.0357,0.064033333,0.026689573,0,,0.858735982
3,1,4,1,4,0.0817,0.0757,0.0867,0.081366667,0.005507571,0,,1.1113054
1,0,4,4,0,0.0457,0.1887,0.1637,0.1327,0.076374079,0,,1.859299411
0,4,0,1,4,0.1227,0.1587,0.1497,0.1437,0.018734994,0,,2.019583843
3,1,4,1,1,0.0737,0.1477,0.2477,0.156366667,0.087323155,0,,2.2041538
5,2,2,1,1,0.0847,0.2497,0.2857,0.2067,0.107177423,0,,2.937576499
3,3,2,1,1,0.1487,0.1867,0.2047,0.180033333,0.028589042,0,,2.549008175
2,4,4,1,4,0.0867,0.2257,0.3277,0.213366667,0.120972449,0,,3.034718584
1,3,4,2,1,0.1147,0.1207,0.1497,0.128366667,0.018717194,0,,1.796157064
2,0,1,1,4,0.0717,0.0667,0.1037,0.0807,0.02007486,0,,1.101591187
2,4,1,2,0,0.0977,0.3667,0.1917,0.2187,0.136517398,0,,3.112432243
4,1,0,2,1,0.0887,0.2607,0.2147,0.188033333,0.089046804,0,,2.665578671
2,2,1,1,5,0.0727,0.2447,0.1007,0.139366667,0.0922894,0,,1.956441496
2,3,0,4,1,0.1007,0.3707,0.1387,0.203366667,0.146155169,0,,2.889005464
5,1,5,1,3,0.0537,0.5697,0.5417,0.388366667,0.290167768,0,,5.584698184
4,4,5,2,4,0.0987,1.0037,0.5567,0.553033333,0.452511142,0,,7.984107551
4,2,4,4,1,0.0457,0.3647,0.1987,0.203033333,0.159544142,0,,2.884148351
4,2,3,4,5,0.0527,0.3847,1.3957,0.611033333,0.699522933,0,,8.829243647
0,4,5,1,4,0.0857,0.0647,0.1817,0.1107,0.062377881,0,,1.538730547
1,2,5,4,4,0.0727,0.0817,0.2067,0.120366667,0.074902158,0,,1.679586568
4,5,4,4,0,0.0937,0.1497,0.4367,0.2267,0.184008152,0,,3.229002739
0,4,4,1,1,0.0727,0.1167,0.2197,0.136366667,0.075447554,0,,1.91272756
4,0,1,5,1,0.1747,0.2607,0.3467,0.2607,0.086,0,,3.724427347
